start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621842901540,1621842901620,79,3,59,1420.12584972839,-1719,6
1621842901630,1621842901650,20,0,31,627.266746394022,-131,23
1621842901740,1621842901790,50,9,312,15901.341777983,-12563,6
1621842901870,1621842901900,30,1,56,1645.34592752081,-2109,287
1621842901910,1621842902020,110,5,78,2442.28454898577,-2482,297
1621842902040,1621842902060,20,0,43,2320.8564420333,-1,302
1621842902160,1621842902200,40,7,296,16123.9291580312,-13404,185
1621842902400,1621842902410,10,-1,30,1337.0874544525,-1,-1
1621842902430,1621842902470,40,1,48,1727.80851190895,-644,305
1621842902500,1621842902510,10,-1,31,582.339843168808,-1,-1
1621842902620,1621842902650,30,1,47,3221.62755112124,-735,103
1621842902730,1621842902890,160,14,659,32001.6345679118,-40843,26
1621842902910,1621842902980,70,1,114,7527.48392388533,-5396,133
1621842902990,1621842903020,30,1,64,2558.5949163299,-454,250
1621842903219,1621842903249,30,1,485,39299.9854758455,-1,29
1621842903259,1621842903329,70,5,471,44608.8701077277,-38631,206
1621842903359,1621842903369,10,-1,47,2411.44222667125,-1,-1
1621842903419,1621842903459,40,0,105,7709.75565632481,-5706,78
1621842903499,1621842903619,120,9,380,16268.95472436,-21298,221
1621842903649,1621842903669,20,0,39,1030.55840934616,-411,144
1621842903689,1621842903719,30,0,41,1157.19707649912,-518,141
1621842903739,1621842903759,20,0,33,2362.36548602179,-57,119
1621842903769,1621842903839,70,4,120,4203.4292076428,-3671,201
1621842903849,1621842903859,10,-1,34,1584.07627941432,-1,-1
1621842903879,1621842903889,10,-1,38,2128.03314580541,-1,-1
1621842904309,1621842904349,40,6,251,16358.5965801842,-12397,294
1621842904549,1621842904609,60,13,372,15763.4631203652,-16096,46
1621842904719,1621842904729,10,-1,33,1387.29869398879,-1,-1
1621842904799,1621842904809,10,-1,49,2576.07248290947,-1,-1
1621842905028,1621842905058,30,1,84,4500.33209248144,-727,28
1621842905398,1621842905478,80,23,533,21860.9329842108,-19131,208
1621842905958,1621842905978,20,0,38,2979.56308136842,-440,250
1621842906098,1621842906108,10,-1,38,2854.25734164771,-1,-1
1621842906208,1621842906268,60,0,737,40630.5813569111,-60238,257
1621842906278,1621842906358,80,12,317,15272.2869480949,-11536,73
1621842906827,1621842906877,50,15,613,37677.7110359099,-686,266
1621842907047,1621842907057,10,-1,48,-1.0,-1,-1
1621842907067,1621842907187,120,19,593,22081.3032868634,-24550,154
1621842907307,1621842907337,30,1,81,5746.39837969417,-4748,232
1621842907797,1621842907877,80,18,451,15656.502933695,-15710,24
1621842908726,1621842908766,40,6,265,14588.9114201046,-11294,155
1621842909206,1621842909326,120,17,485,28891.8538359199,-21898,10
1621842909336,1621842909346,10,-1,34,1210.61101645867,-1,-1
1621842909356,1621842909366,10,-1,38,2634.08605233281,-1,-1
1621842909416,1621842909436,20,0,43,3469.58284691447,-919,22
1621842909516,1621842909526,10,-1,41,2234.28581157686,-1,-1
1621842909536,1621842909776,240,11,1124,72401.6816642928,-52155,330
1621842909786,1621842909916,130,11,212,10263.7657132571,-7817,176
1621842911285,1621842911305,20,0,31,290.130744532746,-1,164
1621842911315,1621842911545,230,8,48,1430.94997845226,-1483,157
1621842912124,1621842912174,50,6,222,10924.6048124964,-9271,205
1621842912194,1621842912204,10,-1,30,460.568603635289,-1,-1
1621842912294,1621842912354,60,8,243,12633.1980786825,-8649,222
1621842912474,1621842912524,50,3,92,2767.39846901402,-4076,255
1621842912644,1621842912654,10,-1,34,1380.01486977224,-1,-1
1621842912664,1621842912674,10,-1,33,569.301960983772,-1,-1
1621842912704,1621842912724,20,0,55,2381.59303851948,-1,323
1621842912974,1621842912984,10,-1,48,2047.83376517416,-1,-1
1621842913993,1621842914043,50,4,133,7086.2779291527,-5129,66
1621842914443,1621842914493,50,3,96,2770.57023082344,-5506,243
1621842914943,1621842914983,40,2,108,6141.74772935459,-5413,1
1621842915103,1621842915283,180,9,157,7117.20679732802,-5443,19
1621842915362,1621842915392,30,1,72,2795.03168556656,-2285,97
1621842915552,1621842915582,30,1,76,5111.15764483833,-4634,156
1621842915892,1621842915942,50,10,351,18261.772602298,-14990,279
1621842916192,1621842916272,80,17,1440,121734.488913788,-94032,20
1621842916312,1621842916462,150,2,916,47839.6729546382,-74985,307
1621842916472,1621842916502,30,1,176,17151.8088945969,-10861,129
1621842916822,1621842916882,60,7,252,11410.5305910898,-11873,181
1621842917012,1621842917061,49,11,353,15602.1942978942,-16788,201
1621842917231,1621842917271,40,5,186,12573.0806287382,-11238,268
1621842917671,1621842917701,30,1,78,4430.238890218,-4691,305
1621842917761,1621842917831,70,1,248,17110.9153790602,-9349,163
1621842918051,1621842918061,10,-1,31,-1.0,-1,-1
1621842918301,1621842918311,10,-1,46,2643.56953208388,-1,-1
1621842918321,1621842918331,10,-1,86,8296.3465488153,-1,-1
1621842918341,1621842918411,70,11,253,6622.5617249291,-11265,51
1621842918760,1621842918800,40,3,158,8154.84622778782,-6825,65
1621842919430,1621842919460,30,3,149,8560.32163512981,-6689,129
1621842919790,1621842919840,50,14,801,53430.8663593856,-36797,8
1621842919850,1621842919880,30,1,514,49797.04247658,-43648,55
1621842919950,1621842919960,10,-1,43,2494.13034356543,-1,-1
1621842920010,1621842920030,20,0,39,2038.16921036788,-857,180
1621842920190,1621842920250,60,6,248,22661.5507957183,-6805,340
1621842920260,1621842920320,60,5,1008,83451.4711400048,-75308,135
1621842920330,1621842920340,10,-1,34,1724.47419133289,-1,-1
1621842920380,1621842920460,80,6,812,69996.906230401,-57675,174
1621842920619,1621842920669,50,5,155,9872.13162133584,-8933,0
1621842921049,1621842921119,70,4,463,8372.02863512779,-28656,264
1621842921279,1621842921359,80,3,406,23768.4254285234,-34441,323
1621842921549,1621842921559,10,-1,54,4041.01180390572,-1,-1
1621842921569,1621842921579,10,-1,62,5189.83482821004,-1,-1
1621842921589,1621842921609,20,0,48,4296.39848675666,-1098,145
1621842921659,1621842921709,50,3,79,4037.42003816876,-2888,252
1621842921919,1621842921999,80,11,335,18710.6616295667,-16593,167
1621842922218,1621842922268,50,10,307,15686.1792764418,-11623,341
1621842922468,1621842922478,10,-1,34,1685.66085374373,-1,-1
1621842923228,1621842923238,10,-1,39,1598.39764830594,-1,-1
1621842923278,1621842923298,20,1,63,3514.60448598088,-1209,286
1621842923318,1621842923378,60,16,363,22965.5316301321,-19298,159
1621842924307,1621842924377,70,20,609,29592.6574332689,-25662,5
1621842924467,1621842924507,40,0,100,7642.7506678735,-3598,240
1621842924587,1621842924617,30,1,76,4527.35376315377,-4243,149
1621842924627,1621842924717,90,2,295,26852.3856171456,-16869,156
1621842924767,1621842924837,70,2,427,26958.0408947266,-13664,334
1621842924847,1621842924857,10,-1,149,14416.2572163441,-1,-1
1621842924867,1621842924907,40,2,135,11403.8730305316,-5622,133
1621842925007,1621842925147,140,18,474,29562.6492073369,-18285,199
1621842925866,1621842925876,10,-1,32,309.622609341613,-1,-1
1621842925916,1621842925996,80,16,444,16635.7741710185,-21837,14
1621842926026,1621842926036,10,-1,38,1348.10737045572,-1,-1
1621842926046,1621842926056,10,-1,54,2980.78615189459,-1,-1
1621842926076,1621842926126,50,2,47,1092.37793816658,-1692,148
1621842926176,1621842926336,160,4,905,57431.4014011124,-31926,283
1621842926366,1621842926516,150,3,493,28910.4143686132,-37350,177
1621842926526,1621842926536,10,-1,52,2869.56908006961,-1,-1
1621842926626,1621842926656,30,3,149,7348.60341010094,-9041,103
1621842926666,1621842926746,80,0,433,24671.2323326648,-19623,228
1621842926766,1621842926846,80,5,394,14272.4047688709,-33152,275
1621842926896,1621842926976,80,4,176,12976.6927216332,-11563,132
1621842927286,1621842927336,50,2,67,2219.47948832502,-1643,263
1621842927525,1621842927605,80,17,562,25482.640803012,-32661,215
1621842927625,1621842927665,40,2,72,2221.71863040792,-2380,52
1621842927675,1621842927755,80,4,447,33552.0257356534,-31711,43
1621842927845,1621842927895,50,1,546,47008.6134991899,-50870,22
1621842927985,1621842928035,50,9,377,28606.2924603977,-31815,45
1621842928085,1621842928115,30,8,391,25505.9182179213,-21698,228
1621842928185,1621842928205,20,1,585,50981.2492500015,-1,22
1621842928215,1621842928245,30,2,586,56182.4438061651,-48030,236
1621842928255,1621842928545,290,16,591,30931.4846529689,-32433,15
1621842928695,1621842928705,10,-1,42,1684.72364885608,-1,-1
1621842928765,1621842928825,60,5,198,9544.62486105659,-8427,146
1621842928975,1621842929005,30,0,45,1299.20077177645,-1238,285
1621842929284,1621842929294,10,-1,47,2660.85650420152,-1,-1
1621842929324,1621842929384,60,5,351,16932.9601491078,-23969,166
1621842929874,1621842929924,50,6,209,10675.802149024,-8214,66
1621842930184,1621842930234,50,4,141,7999.89671156503,-4677,59
1621842930534,1621842930584,50,6,261,18074.5312838385,-15189,266
1621842930943,1621842930993,50,6,230,13699.2837265427,-11279,184
1621842931253,1621842931293,40,4,177,8597.79575799518,-7296,355
1621842931493,1621842931533,40,7,285,13782.7161312478,-14134,312
1621842932483,1621842932622,139,19,1262,60578.1812315068,-54950,153
1621842932802,1621842932872,70,11,329,17034.4053106931,-9800,342
1621842933032,1621842933112,80,7,296,13363.9470117988,-13231,327
1621842933282,1621842933382,100,5,321,22363.3794654486,-20668,129
1621842933612,1621842933642,30,1,58,2918.27658307645,-1879,70
1621842934012,1621842934032,20,0,40,1554.02467949486,-413,329
1621842934691,1621842934731,40,3,111,7898.47343895868,-7393,131
1621842934971,1621842935011,40,4,187,9725.72856263497,-7371,192
1621842935341,1621842935451,110,12,417,18592.6537063557,-21928,239
1621842935541,1621842935551,10,-1,30,355.883622204254,-1,-1
1621842936390,1621842936410,20,0,42,3581.15690987529,-1131,225
1621842936610,1621842936710,100,15,436,18392.4832549513,-18106,33
1621842936960,1621842937010,50,5,199,12415.5680731063,-8394,187
1621842937360,1621842937410,50,8,268,14740.8385099485,-13439,19
1621842937670,1621842937699,29,0,42,2213.51671831237,-767,159
1621842938149,1621842938659,510,1,1647,107822.810823551,-103439,62
1621842939568,1621842939878,310,18,388,28619.8723984705,-17966,1
1621842940028,1621842940118,90,8,365,18654.2903588922,-16698,234
1621842940208,1621842940218,10,-1,33,1145.0583026716,-1,-1
1621842940288,1621842940318,30,1,50,1373.4178762177,-1677,69
1621842940528,1621842940568,40,2,193,9769.22136269544,-1,66
1621842940758,1621842940958,200,13,583,50046.6458291449,-26682,173
1621842940988,1621842941018,30,1,50,1382.18979567487,-1903,162
1621842941098,1621842941108,10,-1,30,1247.66418695453,-1,-1
1621842941118,1621842941427,309,20,718,45176.7757844982,-29781,18
1621842941437,1621842941447,10,-1,30,145.777348339081,-1,-1
1621842941457,1621842941547,90,5,227,8594.77293352551,-15830,225
1621842941757,1621842941857,100,28,599,17385.7488343254,-20662,191
1621842941867,1621842941967,100,7,114,10520.4535110539,-2950,8
1621842942017,1621842942067,50,1,385,30088.4631377203,-12294,50
1621842942337,1621842942377,40,3,146,6852.63440008885,-6383,80
1621842942507,1621842942547,40,4,159,7762.26766831203,-8605,262
1621842942577,1621842942637,60,0,355,29429.6312192431,-30325,40
1621842942647,1621842942687,40,0,395,35887.2368966225,-8642,122
1621842942916,1621842942976,60,0,338,28638.2155305081,-30680,290
1621842942996,1621842943086,90,2,357,16123.8444108204,-17198,33
1621842943096,1621842943146,50,1,344,16764.1112357955,-14598,249
1621842943176,1621842943236,60,2,239,18662.9127383954,-8128,237
1621842943176,1621842943236,60,2,239,18662.9127383954,-8128,237
1621842943246,1621842943286,40,1,145,11697.6870531363,-10611,249
1621842943306,1621842943346,40,9,527,42295.4838697065,-48692,48
1621842943376,1621842943436,60,10,313,21019.993433132,-17052,228
1621842943606,1621842943626,20,0,47,2437.36230282295,-1,108
1621842943656,1621842943786,130,2,541,42683.082930099,-28505,315
1621842943796,1621842943806,10,-1,36,1270.21776424726,-1,-1
1621842943906,1621842943926,20,1,98,4989.51719448815,-1,217
1621842943936,1621842943976,40,3,262,15388.7258498006,-3534,57
1621842943986,1621842944026,40,4,297,22561.9753003894,-26578,49
1621842944096,1621842944176,80,6,355,21556.1207140299,-24245,226
1621842944186,1621842944216,30,1,226,14752.2498426004,-1,53
1621842944226,1621842944236,10,-1,161,15917.1374623213,-1,-1
1621842944246,1621842944276,30,2,108,5968.71173883635,-7688,222
1621842944336,1621842944356,20,2,226,13956.9163050337,-1,49
1621842944366,1621842944376,10,-1,164,15247.4789222555,-1,-1
1621842944386,1621842944516,130,5,349,26516.0492863583,-23714,157
1621842944735,1621842944765,30,2,128,7405.69924545086,-6290,171
1621842945065,1621842945105,40,3,125,4849.69807482576,-4504,37
1621842945175,1621842945235,60,6,843,70004.2656296041,-24472,86
1621842945345,1621842945635,290,22,574,16528.3363182212,-43130,228
1621842945645,1621842945725,80,14,792,40231.9664367415,-50965,240
1621842945785,1621842945795,10,-1,30,1452.60625904911,-1,-1
1621842945825,1621842945855,30,1,74,2537.92902976047,-1453,49
1621842945865,1621842945905,40,4,179,10124.6716142131,-9418,199
1621842945935,1621842946035,100,4,51,1031.15437512859,-911,357
1621842946205,1621842946245,40,1,57,1206.13192621143,-1,175
1621842946255,1621842946544,289,22,765,31496.2574252152,-42451,17
1621842946644,1621842946664,20,0,36,641.132795075563,-1,219
1621842946714,1621842946744,30,0,40,752.85987893886,-140,240
1621842946784,1621842946834,50,8,257,12097.4492419943,-10313,240
1621842947014,1621842947064,50,6,209,10499.9376786431,-7274,66
1621842947194,1621842947224,30,1,55,2547.11525893193,-1421,59
1621842947454,1621842947494,40,5,211,13544.7532653077,-12583,200
1621842947664,1621842947734,70,20,561,19838.6547578869,-27254,331
1621842947764,1621842947784,20,0,42,2369.67735645321,-1,160
1621842947794,1621842947804,10,-1,33,1603.69018567601,-1,-1
1621842947814,1621842947854,40,0,585,51587.9090046461,-53829,126
1621842947884,1621842947904,20,0,54,2607.3343288833,-1,186
1621842947954,1621842947974,20,1,77,6424.09286898735,-2359,129
1621842947984,1621842948383,399,33,3325,195660.530010429,-286630,198
1621842948393,1621842948483,90,5,105,2911.93705636558,-3993,40
1621842948513,1621842948533,20,1,87,5944.55949663676,-1842,259
1621842948573,1621842948593,20,0,51,2215.07345531838,-2018,24
1621842948833,1621842948843,10,-1,34,1984.89224529541,-1,-1
1621842948893,1621842949053,160,52,1633,148758.363222463,-121155,27
1621842949063,1621842949353,290,26,1168,105835.1427736,-52288,220
1621842949363,1621842949463,100,13,351,22849.038404374,-17184,113
1621842949493,1621842949503,10,-1,34,639.368412476198,-1,-1
1621842949583,1621842949643,60,1,230,16460.5291822713,-15031,145
1621842949792,1621842949852,60,10,260,13863.519804196,-18205,283
1621842949872,1621842949882,10,-1,36,1587.82545044436,-1,-1
1621842950022,1621842950082,60,1,342,28082.6323808562,-27463,313
1621842950222,1621842950262,40,5,217,11285.5606606582,-10571,221
1621842950532,1621842950542,10,-1,30,439.728609765869,-1,-1
1621842950692,1621842950862,170,21,979,39646.9472669357,-44593,176
1621842950872,1621842950892,20,0,37,578.043948543718,-1,7
1621842951082,1621842951142,60,15,431,20968.3217228109,-14849,27
1621842951332,1621842951362,30,2,127,8247.25874763865,-7475,198
1621842951501,1621842951571,70,15,452,17774.1566996837,-20400,11
1621842951591,1621842951631,40,1,45,2864.6308246513,-930,177
1621842951711,1621842951721,10,-1,31,751.421076631528,-1,-1
1621842951741,1621842951761,20,1,75,5243.5291878784,-557,10
1621842951991,1621842952051,60,10,302,17813.9102370785,-12127,294
1621842952261,1621842952331,70,17,409,23768.3331005674,-18570,178
1621842952371,1621842952391,20,0,37,2733.42506449052,-704,95
1621842952531,1621842952541,10,-1,38,2706.17851363917,-1,-1
1621842952591,1621842952621,30,0,38,755.620695620404,-378,53
1621842952631,1621842952641,10,-1,37,884.383589947646,-1,-1
1621842952651,1621842952721,70,16,441,19714.3219327499,-14401,182
1621842952741,1621842952761,20,0,39,2702.69254575693,-1,19
1621842952851,1621842952861,10,-1,33,544.843047509254,-1,-1
1621842952991,1621842953021,30,2,107,6833.22784618923,-6527,262
1621842953061,1621842953320,259,9,1874,150551.516163981,-83399,249
1621842953330,1621842953350,20,0,56,4000.40306288941,-532,243
1621842953540,1621842953550,10,-1,32,585.557293876819,-1,-1
1621842953820,1621842953850,30,2,118,7194.74941230645,-6622,1
1621842954160,1621842954200,40,4,176,9162.94746759026,-7863,192
1621842954280,1621842954380,100,4,462,33262.4542401287,-24101,31
1621842954410,1621842954480,70,0,155,9728.39553612097,-12138,243
1621842954830,1621842954930,100,3,316,22425.1300640008,-20632,102
1621842954940,1621842955079,139,8,282,19965.675794473,-19085,242
1621842955189,1621842955259,70,5,326,24175.408086681,-14196,37
1621842955599,1621842955639,40,3,126,5199.97512330165,-5076,180
1621842955709,1621842955759,50,1,323,26968.4882000189,-12684,0
1621842955799,1621842955839,40,4,224,17198.8550356097,-18727,35
1621842955939,1621842955999,60,2,281,18447.1531803534,-9584,232
1621842956009,1621842956089,80,2,207,18571.589264297,-6715,28
1621842956579,1621842956609,30,1,72,4067.50627542557,-1842,209
1621842956838,1621842956858,20,0,46,2272.53275635257,-1534,143
1621842957168,1621842957178,10,-1,31,2245.4052629473,-1,-1
1621842957188,1621842957198,10,-1,31,1801.51810339602,-1,-1
1621842957398,1621842957428,30,3,140,6691.87076123178,-5867,10
1621842957638,1621842957738,100,0,1700,99394.1815481656,-101813,144
1621842957788,1621842957958,170,45,1720,90648.3210473475,-74670,24
1621842957978,1621842958188,210,1,364,24863.3921986097,-20997,115
1621842958378,1621842958407,29,2,115,10299.2452254211,-8930,299
1621842958427,1621842958447,20,1,81,5961.25552276839,-365,115
1621842958557,1621842958607,50,17,912,-1.0,-40120,210
1621842958757,1621842958837,80,7,132,6513.12445861051,-6581,247
1621842958887,1621842958937,50,1,67,3989.74421555853,-3128,24
1621842959257,1621842959287,30,1,74,3798.66716013574,-2254,62
1621842959397,1621842959437,40,3,145,8560.57971764661,-8518,326
1621842959507,1621842959557,50,1,40,1851.14906310139,-831,77
1621842959567,1621842959637,70,1,402,36193.7456166649,-21347,75
1621842959647,1621842959657,10,-1,38,1264.33413058701,-1,-1
1621842959867,1621842959887,20,0,49,3326.58547530613,-1,143
1621842960756,1621842960776,20,1,174,9475.6696614762,-1,80
1621842960886,1621842961046,160,6,736,7989.90992866319,-56374,252
1621842961056,1621842961086,30,4,194,16644.9190072357,-14733,287
1621842961116,1621842961206,90,1,486,41809.1152402641,-15624,149
1621842961286,1621842961336,50,4,430,35703.1328360046,-14967,113
1621842961366,1621842961376,10,-1,32,1347.75811002635,-1,-1
1621842961396,1621842961466,70,4,93,3655.63730379847,-2686,201
1621842961566,1621842961596,30,1,143,-1.0,-6146,196
1621842965853,1621842965883,30,1,170,2714.19508784029,-12173,161
1621842966623,1621842966683,60,13,893,-1.0,-31890,50
1621842966823,1621842966873,50,1,42,698.30686133573,-659,257
1621842966903,1621842966953,50,7,276,14236.4574415494,-13172,275
1621842967002,1621842967022,20,0,32,1750.88291051904,-52,230
1621842967102,1621842967132,30,3,227,11486.5712793531,-1,272
1621842967142,1621842967192,50,0,150,13512.7841994109,-5832,94
1621842967402,1621842967472,70,8,447,29653.4617805025,-25587,254
1621842967902,1621842967952,50,4,164,9931.93769900023,-7367,27
1621842968212,1621842968262,50,11,361,19598.8940654664,-17438,17
1621842968602,1621842968662,60,11,325,16129.4319623679,-9479,263
1621842968741,1621842968751,10,-1,35,2501.63548424741,-1,-1
1621842968811,1621842968861,50,9,309,17979.5443824879,-12741,222
1621842968951,1621842968981,30,0,32,561.438644851526,-110,118
1621842969161,1621842969201,40,5,200,10630.2173595648,-10169,196
1621842969411,1621842969481,70,10,243,10438.9157263988,-8273,66
1621842969711,1621842969761,50,8,308,15720.3718949886,-12577,241
1621842969851,1621842969871,20,0,33,983.914661529538,-1,90
1621842969951,1621842969991,40,1,42,839.264118306564,-807,97
1621842970001,1621842970021,20,0,40,1346.24579614235,-1032,116
1621842970041,1621842970131,90,3,72,1758.44056566504,-1167,104
1621842970141,1621842970191,50,9,316,17236.2993810232,-10420,315
1621842970311,1621842970341,30,1,85,4426.23273171878,-1919,109
1621842970391,1621842970470,79,15,390,16059.2836725486,-17262,351
1621842970530,1621842970540,10,-1,30,158.894565019907,-1,-1
1621842970570,1621842970900,330,35,590,18629.0226197149,-31492,207
1621842970910,1621842970970,60,3,62,1934.47026997635,-761,32
1621842971730,1621842972020,290,21,565,48843.755138682,-40596,214
1621842972030,1621842972050,20,0,60,3125.79629688496,-1343,32
1621842972060,1621842972110,50,9,262,19894.0611540257,-5446,51
1621842972120,1621842972229,109,44,1888,90435.9835108209,-89944,23
1621842972239,1621842972269,30,1,81,3527.01858451201,-1750,216
1621842972279,1621842972289,10,-1,101,7113.18543208166,-1,-1
1621842972299,1621842972499,200,13,233,18662.1907775939,-17339,181
1621842972509,1621842972529,20,2,145,10423.4019773659,-1,47
1621842972539,1621842972699,160,11,116,5261.03608653528,-2864,212
1621842972709,1621842972749,40,3,141,7951.52207894202,-5663,91
1621842972769,1621842972799,30,0,38,1234.29525411111,-426,180
1621842972869,1621842972889,20,0,38,995.292074227197,-1,187
1621842972959,1621842972969,10,-1,33,569.89218463071,-1,-1
1621842972989,1621842973059,70,23,639,39502.1204042059,-26357,311
1621842973269,1621842973299,30,2,94,4678.51689420234,-4927,349
1621842973619,1621842973689,70,13,362,16038.6526132064,-15268,112
1621842973779,1621842973789,10,-1,30,319.238094760622,-1,-1
1621842973858,1621842973898,39,5,220,9675.28811520987,-9008,127
1621842974258,1621842974328,70,18,422,24597.3257542073,-14796,282
1621842974948,1621842974968,20,0,43,1261.46834259404,-1,278
1621842974978,1621842975058,80,3,122,7056.2114516099,-5303,349
1621842975258,1621842975358,100,5,166,6126.8615040164,-6575,222
1621842975518,1621842975528,10,-1,33,668.245704313545,-1,-1
1621842975757,1621842975817,60,17,489,29195.6036617173,-15895,154
1621842975837,1621842975857,20,0,31,1943.67870820692,-11,7
1621842975877,1621842976037,160,8,198,8807.92521255734,-8401,22
1621842976357,1621842976387,30,2,104,5930.80997927861,-3592,217
1621842976587,1621842976707,120,23,1053,45616.780477613,-49884,329
1621842976717,1621842976747,30,0,46,1773.5229969079,-429,180
1621842976777,1621842976817,40,1,78,4805.56565689288,-1458,137
1621842976857,1621842976907,50,3,113,4948.54944532735,-3306,154
1621842976987,1621842977007,20,0,48,2164.07315643482,-1,104
1621842977077,1621842977097,20,0,62,4714.19928977225,-1253,180
1621842977127,1621842977157,30,3,144,7458.72293910618,-4042,7
1621842977566,1621842977606,40,3,149,9927.64770736237,-8045,205
1621842977946,1621842977986,40,3,122,5768.20984536993,-6217,359
1621842978166,1621842978176,10,-1,33,2104.01775978619,-1,-1
1621842978296,1621842978306,10,-1,30,224.173608558435,-1,-1
1621842978506,1621842978546,40,4,157,9112.29494222098,-8513,157
1621842978756,1621842978816,60,16,459,20081.2677182551,-20934,169
1621842978996,1621842979016,20,0,48,2918.58331701188,-1,135
1621842979315,1621842979435,120,6,1078,88057.5386170003,-52487,91
1621842979445,1621842979475,30,1,868,84912.6241275255,-78181,270
1621842979565,1621842979615,50,7,245,9799.46458295567,-12034,111
1621842979725,1621842979735,10,-1,36,1937.38556265096,-1,-1
1621842979885,1621842979895,10,-1,34,1369.49764124514,-1,-1
1621842979965,1621842980045,80,25,560,20398.451530242,-20788,326
1621842980055,1621842980065,10,-1,30,307.536673248524,-1,-1
1621842980215,1621842980245,30,2,120,8069.49375985015,-7559,341
1621842980715,1621842980734,19,0,52,4988.15418643835,-1925,245
1621842981134,1621842981284,150,19,1977,92797.3272894179,-120655,159
1621842981674,1621842981734,60,6,157,6870.84151507262,-8272,55
1621842982024,1621842982044,20,0,61,3487.06776480594,-1560,197
1621842982254,1621842982294,40,4,180,9715.63748954877,-7483,359
1621842982453,1621842982553,99,22,1788,90053.6595292348,-147727,139
1621842982563,1621842982653,90,4,331,25189.6494096687,-19819,330
1621842982663,1621842982763,100,3,38,810.01267150411,-653,354
1621842982773,1621842982833,60,13,441,21407.9354159466,-19865,187
1621842982853,1621842982923,70,2,36,653.659023443822,-497,349
1621842982933,1621842983003,70,2,38,796.551566123833,-579,356
1621842983063,1621842983133,70,18,556,28116.5233782881,-16899,333
1621842983233,1621842983423,190,16,917,58155.6851210147,-41571,348
1621842983513,1621842983583,70,2,260,16803.6628079943,-18959,228
1621842983613,1621842983643,30,0,55,4192.33342007149,-1626,111
1621842983673,1621842983713,40,4,182,9260.61897844612,-8281,72
1621842983743,1621842983843,100,3,312,24472.9082657881,-20920,201
1621842985232,1621842985432,200,20,404,25054.1775656281,-22630,355
1621842985442,1621842985472,30,1,75,5322.22128028721,-2454,231
1621842985492,1621842985532,40,1,38,1136.71151067879,-800,205
1621842985572,1621842985702,130,0,375,28364.5966651079,-20140,203
1621842985772,1621842985961,189,0,214,16396.0626289457,-13023,236
1621842986111,1621842986121,10,-1,32,1651.75017629328,-1,-1
1621842986181,1621842986191,10,-1,32,2352.8209379805,-1,-1
1621842986281,1621842986311,30,2,104,5960.76214717626,-5783,161
1621842986631,1621842986691,60,2,114,4189.90221063713,-4001,347
1621842986791,1621842986811,20,2,117,9312.1694454354,-1,131
1621842986821,1621842986841,20,2,117,9627.8044536257,-1,313
1621842986891,1621842986931,40,3,85,6062.10578366487,-1149,168
1621842987521,1621842987720,199,24,493,36800.1314640615,-23482,173
1621842987880,1621842987910,30,1,49,2091.2514740326,-334,23
1621842988450,1621842988630,180,29,675,51488.2598553038,-38440,353
1621842988660,1621842988700,40,1,53,2161.44665530649,-2239,131
1621842988710,1621842988720,10,-1,49,2426.82848654586,-1,-1
1621842988740,1621842988830,90,0,278,15205.3444412713,-21647,180
1621842988840,1621842988930,90,0,372,21535.0125651168,-30313,273
1621842989100,1621842989120,20,9,961,48691.7466984211,-1,128
1621842989210,1621842989250,40,5,838,-1.0,-56516,227
1621842989339,1621842989379,39,1,61,2145.39621293819,-2544,283
1621842989419,1621842989429,10,-1,31,807.718212783441,-1,-1
1621842989439,1621842989499,60,10,286,13267.6611285599,-11887,22
1621842989689,1621842989749,60,9,305,18235.6243261743,-15409,147
1621842990109,1621842990159,50,5,200,12155.4250967429,-10252,287
1621842990419,1621842990469,50,24,618,30750.7848760322,-4047,28
1621842990569,1621842990599,30,3,164,13183.4794768929,-4968,204
1621842990779,1621842990799,20,0,107,-1.0,-5612,319
1621842990909,1621842991088,179,10,962,61157.2860234018,-40844,117
1621842991098,1621842991118,20,0,39,1000.24239421802,-822,234
1621842991138,1621842991178,40,1,64,2328.75886144896,-2572,273
1621842991248,1621842991278,30,1,50,2335.02833351045,-1823,281
1621842991378,1621842991458,80,13,490,30955.1318330173,-36088,150
1621842991468,1621842991488,20,1,151,13246.097966178,-4134,246
1621842991498,1621842991638,140,7,84,1988.82367780215,-2771,346
1621842991668,1621842991698,30,1,59,2479.84924614091,-1793,87
1621842991888,1621842991958,70,11,316,11162.293594696,-11430,56
1621842992038,1621842992058,20,0,47,1742.81543568169,-1,77
1621842992068,1621842992078,10,-1,31,1448.7886460176,-1,-1
1621842992088,1621842992168,80,23,525,24455.2467449768,-17328,318
1621842992308,1621842992358,50,1,48,1862.47451766758,-1589,193
1621842992378,1621842992438,60,2,119,6508.37306443609,-6722,266
1621842992448,1621842992508,60,2,69,1600.92222519366,-2281,197
1621842992668,1621842992698,30,1,92,6007.94307447681,-5873,195
1621842992807,1621842992927,120,27,579,27773.7175053086,-38052,332
1621842992937,1621842992987,50,4,128,3727.39732367213,-9603,145
1621842993007,1621842993017,10,-1,31,612.866842802,-1,-1
1621842993087,1621842993097,10,-1,34,1401.82825009203,-1,-1
1621842993157,1621842993167,10,-1,31,883.029361971804,-1,-1
1621842993787,1621842993857,70,25,649,31391.6881570291,-27277,167
