start,end,duration,amplitude,peak_velocity,peak_acceleration,peak_deceleration,direction
1621851074782,1621851075042,260,12,1524,133379.942490805,-105937,171
1621851075052,1621851075122,70,5,150,6930.54715386526,-6226,187
1621851075132,1621851075182,50,6,547,22829.6262987994,-13870,269
1621851075192,1621851075222,30,1,144,12399.977376973,-7851,4
1621851075242,1621851075312,70,2,139,10709.3846297686,-9040,199
1621851075352,1621851075382,30,1,91,6580.10013920458,-3547,4
1621851075392,1621851075412,20,1,73,7038.92352143131,-1877,185
1621851075462,1621851075502,40,1,97,6542.70639344278,-6163,350
1621851075512,1621851075542,30,0,106,9207.18369331282,-6853,348
1621851075602,1621851075662,60,5,197,15111.0689805594,-10385,32
1621851075672,1621851075682,10,-1,31,189.544175730033,-1,-1
1621851075702,1621851075732,30,5,255,14756.4639382173,-12299,198
1621851075742,1621851075782,40,3,379,28181.2216806906,-27912,331
1621851075792,1621851075822,30,17,1584,77280.7844898073,-1,39
1621851076841,1621851076991,150,5,696,1344.94628732228,-47982,314
1621851077011,1621851077031,20,0,47,1864.4062005386,-1595,63
1621851077041,1621851077121,80,15,348,15186.8234031689,-15432,232
1621851077131,1621851077151,20,1,66,3147.63309780463,-1,5
1621851077181,1621851077261,80,3,46,1230.38175942388,-635,47
1621851077271,1621851077311,40,7,283,12416.7379075694,-10833,261
1621851077321,1621851077341,20,0,108,7328.08330201366,-1,296
1621851077351,1621851077371,20,0,149,12245.7724686811,-10757,39
1621851077401,1621851077421,20,1,89,7911.68953032759,-1015,55
1621851077431,1621851077441,10,-1,37,1112.76108380118,-1,-1
1621851077461,1621851077491,30,1,81,4331.03809242048,-3591,71
1621851077541,1621851077581,40,1,65,1999.40369830941,-2620,68
1621851077591,1621851077601,10,-1,30,368.491233231132,-1,-1
1621851077611,1621851077631,20,0,34,945.236753915838,-375,69
1621851077761,1621851077801,40,5,183,7465.62259419661,-5598,212
1621851078070,1621851078190,120,21,1664,145124.838667961,-156759,13
1621851078200,1621851078230,30,2,132,6757.65184601487,-6475,40
1621851078240,1621851078280,40,2,124,6646.98557799956,-4332,212
1621851078290,1621851078310,20,0,86,6114.14481872212,-4852,45
1621851078370,1621851078460,90,2,265,17964.5223243095,-19747,190
1621851078480,1621851078500,20,1,77,4986.28009247262,-1335,223
1621851078510,1621851078550,40,2,125,8494.95087067969,-4987,184
1621851078570,1621851078590,20,1,123,10220.7860933158,-2971,37
1621851078790,1621851078800,10,-1,33,450.606136779771,-1,-1
1621851078840,1621851078850,10,-1,33,921.662666607343,-1,-1
1621851078870,1621851078880,10,-1,33,2549.19765844902,-1,-1
1621851078890,1621851078910,20,2,173,14553.7678171768,-6385,231
1621851078920,1621851078980,60,38,1496,102235.374764193,-49373,150
1621851079070,1621851079300,230,36,1749,112796.828209687,-128034,199
1621851079310,1621851079330,20,1,78,5655.62728126975,-2583,154
1621851079590,1621851079649,59,0,388,29785.6081982793,-35856,243
1621851079689,1621851079749,60,13,401,19863.4257469674,-12396,96
1621851079989,1621851080089,100,16,464,19290.2814344612,-19649,274
1621851080519,1621851080539,20,11,501,49470.688032895,-332,347
1621851080559,1621851080579,20,13,596,59424.7081456822,-441,76
1621851080889,1621851080949,60,2,55,1732.69539389154,-1623,185
1621851080979,1621851081019,40,3,145,6401.85662205842,-3927,164
1621851081278,1621851081518,239,29,1895,91047.2895986498,-133985,231
1621851081558,1621851081588,30,2,130,7363.30281901389,-5617,210
1621851081598,1621851081728,130,4,446,27504.3039271033,-19822,6
1621851081788,1621851081798,10,-1,43,2606.14679111555,-1,-1
1621851081938,1621851081998,60,9,322,16209.0299365414,-20076,122
1621851082008,1621851082118,110,6,515,48609.2705588577,-32379,339
1621851082168,1621851082278,110,6,467,42341.7238631724,-22437,211
1621851082358,1621851082408,50,4,178,9707.51086640977,-7142,324
1621851082428,1621851082518,90,1,99,4896.49297617883,-4541,71
1621851082538,1621851082558,20,0,41,1138.21946230418,-1,246
1621851082568,1621851082588,20,11,1020,52567.6287335172,-1,37
1621851082878,1621851082957,79,8,298,10660.1609146444,-23783,287
1621851083207,1621851083237,30,2,274,-1.0,-15833,256
1621851083277,1621851083527,250,12,399,25141.5377718223,-18212,358
1621851083627,1621851083697,70,7,645,36800.5328671738,-37529,185
1621851084157,1621851084397,240,19,728,21069.5222041887,-30534,191
1621851084417,1621851084586,169,33,572,34905.7414801695,-22413,168
1621851084596,1621851084846,250,24,194,10960.2266361021,-12065,350
1621851085626,1621851085636,10,-1,46,2876.7747043216,-1,-1
1621851085646,1621851085656,10,-1,38,1331.95744045606,-1,-1
1621851085686,1621851085706,20,0,33,1063.8133965998,-301,39
1621851085726,1621851085746,20,1,78,6595.97216387538,-3402,230
1621851085806,1621851085816,10,-1,37,3404.60303858252,-1,-1
1621851085826,1621851085926,100,1,76,5418.25534985117,-2854,226
1621851086046,1621851086076,30,1,58,2922.41365401475,-9,300
1621851086086,1621851086106,20,1,91,6664.86442147151,-2432,239
1621851086116,1621851086146,30,1,53,1925.6426664438,-59,259
1621851086246,1621851086265,19,0,35,2374.68028925799,-242,45
1621851086285,1621851086305,20,0,44,3185.4984103926,-843,217
1621851086425,1621851086435,10,-1,55,3164.44326862657,-1,-1
1621851086445,1621851086465,20,0,46,2606.70430194806,-1057,206
1621851086535,1621851086555,20,0,45,3279.64354402333,-812,228
1621851086585,1621851086605,20,0,60,2984.44402162959,-1,51
1621851086785,1621851086895,110,35,922,47662.8420921232,-9673,18
1621851087035,1621851087085,50,11,581,-1.0,-21575,210
1621851087105,1621851087115,10,-1,34,1728.62647048267,-1,-1
1621851087165,1621851087315,150,26,2161,154439.992341047,-129919,4
1621851087335,1621851087505,170,11,586,35211.3153798221,-37311,319
1621851087525,1621851087795,270,19,290,20376.9933338633,-17644,176
1621851087805,1621851087835,30,1,239,21605.7890481003,-18137,187
1621851087845,1621851087894,49,1,213,19643.228724003,-16385,75
1621851087904,1621851087984,80,3,279,20735.9070472131,-20609,196
1621851088004,1621851088014,10,-1,56,3937.35759436093,-1,-1
1621851088084,1621851088104,20,0,83,5565.72432983736,-3200,183
1621851088264,1621851088284,20,0,59,5032.29565861966,-2000,42
1621851088334,1621851088374,40,1,54,1502.28417598544,-1475,80
1621851088394,1621851088414,20,1,114,7130.61339182759,-1,213
1621851088424,1621851088434,10,-1,200,18043.9423707917,-1,-1
1621851088444,1621851088494,50,1,214,20324.4068121331,-17091,105
1621851088504,1621851088544,40,1,169,15136.6392907611,-8830,137
1621851088604,1621851088644,40,1,58,1911.59739844396,-2135,135
1621851088664,1621851088714,50,2,80,3706.13546802625,-4187,122
1621851088754,1621851088794,40,2,698,68753.0309478029,-63075,259
1621851088804,1621851088814,10,-1,41,2096.24830700122,-1,-1
1621851088824,1621851088834,10,-1,80,6459.53365919978,-1,-1
1621851088844,1621851088864,20,0,81,7045.51860962832,-4219,192
1621851088934,1621851088974,40,0,426,32051.0762303898,-10841,120
1621851089224,1621851089234,10,-1,43,3820.2352650823,-1,-1
1621851089244,1621851089254,10,-1,33,2054.77695427016,-1,-1
1621851089264,1621851089304,40,1,387,22449.063143577,-25261,90
1621851089314,1621851089354,40,2,155,10104.2407035903,-8272,273
1621851089374,1621851089394,20,0,32,631.26016731648,-245,243
1621851089484,1621851089504,20,1,55,4252.9973044064,-1,32
1621851089733,1621851089793,60,2,67,2011.69044034725,-1866,311
1621851089903,1621851089943,40,1,174,13195.5606399178,-14366,59
1621851089963,1621851089973,10,-1,62,3864.14858505592,-1,-1
1621851089983,1621851090003,20,0,34,1006.50163874513,-345,296
1621851090013,1621851090043,30,5,297,15747.1552529429,-15353,149
1621851090143,1621851090173,30,0,167,14458.9705844857,-12577,259
1621851090183,1621851090223,40,19,842,57355.4578215335,-13952,38
1621851090333,1621851090383,50,4,1118,25053.9171587326,-94989,222
1621851090393,1621851090463,70,3,93,6141.44267713287,-3841,335
1621851090623,1621851090833,210,17,422,25292.3712085858,-24157,36
1621851090853,1621851091013,160,10,600,44617.7144861294,-24367,257
1621851091073,1621851091163,90,29,470,17953.2043188954,-8825,235
1621851091332,1621851091362,30,0,201,963.28713232518,-16949,283
1621851091372,1621851091552,180,16,324,21072.9503177523,-22743,33
1621851091582,1621851091612,30,4,210,16129.6959976469,-5422,228
1621851091622,1621851091672,50,1,58,3414.21535953289,-2234,115
1621851091692,1621851091782,90,14,738,34099.8902857537,-65526,106
1621851091882,1621851091942,60,12,431,22132.2598180869,-16184,148
1621851092022,1621851092032,10,-1,40,1235.76040640603,-1,-1
1621851092062,1621851092072,10,-1,33,2306.43144733036,-1,-1
1621851092082,1621851092112,30,7,1182,80629.2845159235,-1,31
1621851092412,1621851092422,10,-1,1663,-1.0,-1,-1
1621851093121,1621851093311,190,34,1875,147139.37847773,-135420,218
1621851093321,1621851093351,30,2,130,10979.9458338656,-7767,286
1621851093361,1621851093401,40,1,52,2102.35272499691,-1933,310
1621851093411,1621851093721,310,13,177,11548.3780807529,-9217,57
1621851093731,1621851093801,70,16,402,18790.9558879635,-21713,200
1621851093821,1621851093921,100,5,71,2871.06742786145,-2036,16
1621851093931,1621851093941,10,-1,32,286.043241682452,-1,-1
1621851093951,1621851093971,20,0,54,1489.54633615052,-1,0
1621851093991,1621851094011,20,0,57,3216.57009190649,-2736,286
1621851094231,1621851094261,30,0,49,2146.9124951182,-1173,93
1621851094530,1621851094570,40,1,67,2935.72754206132,-4071,298
1621851096619,1621851096669,50,2,176,10482.6768097867,-14145,285
1621851096679,1621851096709,30,8,754,34379.2519732657,-1,45
1621851096829,1621851096889,60,17,450,2341.7242929908,-7238,149
1621851098038,1621851098188,150,17,627,14756.2943619004,-21029,317
1621851098198,1621851098208,10,-1,42,3426.86539113934,-1,-1
1621851098218,1621851098258,40,3,144,7377.71000234733,-9563,222
1621851098448,1621851098458,10,-1,35,1255.72947736361,-1,-1
1621851098488,1621851098588,100,22,568,39085.2400573173,-50950,10
1621851098648,1621851098678,30,1,48,2334.11337359727,-1365,185
1621851098788,1621851098868,80,20,838,39479.4121545102,-75991,191
1621851098918,1621851098948,30,1,103,7750.29504258054,-5184,339
1621851098978,1621851098998,20,0,31,2212.70196084505,-41,23
1621851099008,1621851099048,40,0,95,5516.23456596282,-4299,328
1621851099058,1621851099068,10,-1,31,2181.96357865256,-1,-1
1621851099078,1621851099088,10,-1,52,3540.53659038881,-1,-1
1621851099118,1621851099128,10,-1,126,10243.7473578965,-1,-1
1621851099138,1621851099148,10,-1,120,11216.5406886124,-1,-1
1621851099268,1621851099278,10,-1,32,642.397407259626,-1,-1
1621851099298,1621851099308,10,-1,112,9599.48297354367,-1,-1
1621851099318,1621851099328,10,-1,98,8412.51497405362,-1,-1
1621851099348,1621851099358,10,-1,37,2449.30962753548,-1,-1
1621851099368,1621851099408,40,3,134,7787.43075791322,-8957,263
1621851099627,1621851099637,10,-1,33,3077.95386850238,-1,-1
1621851099977,1621851099987,10,-1,108,8099.75719185099,-1,-1
1621851099997,1621851100067,70,2,582,48739.8787916053,-43675,276
1621851100107,1621851100227,120,1,188,12900.0366952528,-12571,91
1621851100247,1621851100287,40,3,147,8229.38485192122,-5808,112
1621851100367,1621851100417,50,3,766,42413.6082834687,-27530,130
1621851100497,1621851100687,190,4,660,40510.7215462178,-62438,59
1621851100707,1621851100737,30,12,1149,57038.0738686929,-1,26
1621851101027,1621851101097,70,14,448,511.346568750105,-19613,250
1621851101146,1621851101166,20,0,39,1328.71866289197,-895,285
1621851101216,1621851101306,90,2,292,18923.7814934728,-25151,294
1621851101756,1621851101766,10,-1,43,2162.76469568859,-1,-1
1621851101806,1621851101866,60,2,51,2010.17518697543,-840,309
1621851101976,1621851102016,40,1,44,1489.00328835185,-463,72
1621851102026,1621851102046,20,0,40,2283.73147903379,-709,131
1621851102895,1621851102905,10,-1,33,2531.2460155243,-1,-1
1621851102985,1621851102995,10,-1,33,2172.03866658929,-1,-1
1621851103485,1621851103495,10,-1,39,2419.99721963493,-1,-1
1621851103505,1621851103535,30,5,475,19821.683271598,-1,89
1621851104005,1621851104075,70,0,681,8791.92698660248,-46836,168
1621851104085,1621851104105,20,2,239,11142.7840021907,-1,85
1621851104255,1621851104335,80,0,267,11844.0529174185,-14070,280
1621851104355,1621851104504,149,21,564,29317.3830872194,-17862,52
1621851104544,1621851104554,10,-1,31,1755.57341200326,-1,-1
1621851104614,1621851104674,60,6,178,8880.81633947982,-3744,176
1621851104804,1621851104814,10,-1,39,1133.38863421343,-1,-1
1621851104854,1621851105034,180,15,632,35862.4400757998,-30707,243
1621851105374,1621851105414,40,15,1096,64433.0746897094,-1,61
1621851105514,1621851105854,340,25,926,69983.6930626274,-74266,251
1621851105864,1621851105874,10,-1,55,5302.31865955805,-1,-1
1621851105884,1621851105904,20,1,68,4805.59631208751,-17,92
1621851105914,1621851105934,20,0,36,1156.65430002516,-62,101
1621851106213,1621851106223,10,-1,44,1826.17500228627,-1,-1
1621851106503,1621851106533,30,2,128,6048.03485748598,-5975,114
1621851106593,1621851106643,50,3,328,12809.9256969909,-23708,318
1621851106673,1621851106693,20,0,37,906.760562491699,-480,29
1621851106773,1621851106833,60,3,83,3253.54506918509,-3800,87
1621851107023,1621851107083,60,3,347,22344.2230317235,-27751,267
1621851107093,1621851107103,10,-1,96,7833.97776748823,-1,-1
1621851107113,1621851107143,30,0,123,9128.79246686181,-5511,225
1621851107233,1621851107293,60,0,267,22805.6934508074,-14025,149
1621851107423,1621851107473,50,3,341,20697.590340719,-12400,80
1621851107483,1621851107503,20,1,84,3911.44191612538,-1,92
1621851107543,1621851108002,459,3,1617,123844.173374027,-134377,265
1621851108012,1621851108172,160,20,850,74293.4607126024,-75922,115
1621851108182,1621851108502,320,19,793,60375.5931335739,-52597,296
1621851108702,1621851108762,60,6,123,148.704507937411,-1,91
1621851110631,1621851110691,60,8,753,-1.0,-47563,135
1621851110701,1621851110811,110,6,316,16304.6338725726,-19025,35
1621851110871,1621851110991,120,7,432,26974.2136451018,-29381,99
1621851111340,1621851111400,60,6,309,12634.7012668615,-10841,171
1621851111410,1621851111440,30,2,264,24536.7434209531,-16296,76
1621851111450,1621851111550,100,10,419,25407.0220569421,-27865,147
1621851111640,1621851111710,70,5,386,17691.5073383564,-34788,319
1621851111720,1621851111800,80,5,230,12234.1637417372,-5099,336
1621851112190,1621851112270,80,19,327,17252.8284146597,-17440,244
1621851112500,1621851112640,140,12,931,43081.3569961969,-81941,216
1621851112650,1621851112759,109,13,545,44402.2721340373,-23282,12
1621851112770,1621851112829,59,2,164,13941.8320842977,-14836,237
1621851112839,1621851112879,40,3,117,4461.16197009966,-158,227
1621851112889,1621851112919,30,7,1252,89221.9236130655,-1,49
1621851113109,1621851113529,420,11,485,39766.5107978481,-34206,300
1621851113619,1621851113659,40,0,285,2183.98619576797,-24354,206
1621851113669,1621851113719,50,1,74,3184.05324293423,-4120,308
1621851113729,1621851113779,50,3,105,8788.97662208103,-3795,293
1621851113789,1621851113799,10,-1,61,3562.07551209999,-1,-1
1621851113809,1621851114019,210,6,300,15528.1610875646,-17283,157
1621851114029,1621851114059,30,2,101,6576.25014895304,-2329,329
1621851114079,1621851114119,40,4,149,8209.88427982905,-5205,93
1621851114129,1621851114169,40,5,201,13329.013885697,-14513,280
1621851114189,1621851114458,269,22,1582,73924.8058435404,-97088,273
1621851114538,1621851114558,20,0,34,1349.04567917547,-448,90
1621851114628,1621851114708,80,0,2107,198744.906755368,-204540,312
1621851114938,1621851114978,40,1,116,5782.88118826225,-4564,122
1621851115038,1621851115048,10,-1,44,3431.07146385342,-1,-1
1621851115058,1621851115078,20,0,50,2525.02795556804,-1789,239
1621851116247,1621851116257,10,-1,32,404.826592152803,-1,-1
1621851116477,1621851116527,50,0,377,21292.5544050053,-3663,113
1621851116637,1621851116747,110,7,323,16578.0942887251,-27595,120
1621851116837,1621851116857,20,1,174,11975.6518908884,-1,29
1621851116867,1621851116957,90,21,1219,116034.722104748,-24796,138
1621851117137,1621851117457,320,15,2405,154895.410969276,-130225,89
1621851118246,1621851118646,400,11,2012,117135.054471123,-145896,223
1621851118746,1621851118766,20,11,1114,-1.0,-53471,99
1621851118776,1621851118816,40,1,1083,105845.055980962,-103916,178
1621851118836,1621851118896,60,5,555,41448.5559675293,-23905,106
1621851118906,1621851118956,50,34,1518,145839.374898909,-4690,281
1621851119046,1621851119246,200,10,736,27791.9349355653,-67204,109
1621851119336,1621851119485,149,41,1278,94978.9917653234,-96257,7
1621851119495,1621851119615,120,28,1476,113027.526231422,-44759,202
1621851119705,1621851119955,250,15,2888,35505.6630644947,-151480,325
1621851119965,1621851120005,40,5,255,15695.5408513771,-18016,217
1621851120025,1621851120135,110,4,112,6314.04456157482,-4334,177
1621851120145,1621851120155,10,-1,45,2446.67514133853,-1,-1
1621851120165,1621851120175,10,-1,43,1745.2623367554,-1,-1
1621851120195,1621851120545,350,16,1191,73917.4036657142,-38737,342
1621851120555,1621851120805,250,11,926,55271.9015546798,-60961,137
1621851120815,1621851120855,40,2,85,4148.13798868701,-3548,119
1621851120865,1621851120885,20,0,42,1286.09930657095,-23,130
1621851120895,1621851121104,209,14,538,37083.9342768112,-21359,338
1621851121114,1621851121154,40,2,76,5425.56700515113,-2740,201
1621851121234,1621851121334,100,20,1050,101148.034632216,-39236,173
1621851121344,1621851121354,10,-1,49,2947.29932526796,-1,-1
1621851121364,1621851121434,70,2,140,13274.2342551468,-8777,358
1621851121444,1621851121484,40,1,62,3086.48741448995,-1551,300
1621851121504,1621851121744,240,22,1431,95766.3445561212,-82709,27
1621851121504,1621851121744,240,22,1431,95766.3445561212,-82709,27
1621851121864,1621851121894,30,4,288,-1.0,-10268,241
1621851121964,1621851122014,50,11,1103,63129.7521665048,-1,28
1621851122134,1621851122594,460,20,1735,114339.926091462,-147702,293
1621851122624,1621851122654,30,3,1124,95461.8156828877,-1,92
1621851123083,1621851123353,270,15,1528,18570.6506965458,-116156,267
1621851123383,1621851123393,10,-1,30,441.196818324768,-1,-1
1621851123403,1621851123443,40,3,140,7463.01318492555,-6212,308
1621851124263,1621851124313,50,6,304,21828.8458268729,-23010,174
1621851124482,1621851124492,10,-1,31,581.058775031339,-1,-1
1621851124502,1621851124542,40,6,261,16808.0694116893,-14495,356
1621851124702,1621851124742,40,6,271,17265.7867544594,-16772,180
1621851124902,1621851124922,20,1,53,4660.20224761064,-433,290
1621851124962,1621851125012,50,7,255,13728.3728934833,-8591,16
1621851125112,1621851125132,20,0,46,3628.56358274114,-1,270
1621851125552,1621851125622,70,31,1348,58498.4135838614,-20459,135
1621851125932,1621851126131,199,18,330,11064.7267737255,-17759,278
1621851126181,1621851126231,50,3,174,11762.227466368,-9305,195
1621851126271,1621851126291,20,0,53,3791.13834288492,-478,135
1621851126651,1621851126671,20,0,31,2116.95688953077,-91,119
1621851127241,1621851127271,30,0,41,1542.58961536687,-1053,196
1621851127401,1621851127441,40,4,180,9804.54730716943,-7866,19
1621851127810,1621851127840,30,6,284,17684.6782384182,-15930,179
1621851127970,1621851127980,10,-1,37,1383.00844174225,-1,-1
1621851128040,1621851128090,50,6,217,11256.2111213217,-8510,3
1621851128300,1621851128320,20,0,46,2237.14318920988,-1,75
1621851128540,1621851128580,40,6,256,13584.2548704638,-14685,182
1621851128840,1621851128880,40,4,175,11934.1244302051,-10355,7
1621851129080,1621851129100,20,0,38,3621.8562960369,-782,108
1621851129200,1621851129230,30,1,65,3369.52709170054,-2289,49
1621851129240,1621851129300,60,2,74,2154.62954178047,-3613,171
1621851129310,1621851129329,19,0,40,1050.86934094842,-1,147
1621851129349,1621851129369,20,0,41,2015.42126179485,-843,101
1621851129529,1621851129599,70,47,1902,114552.897243829,-85589,35
1621851129789,1621851129949,160,36,3281,231183.459415065,-195970,192
1621851129959,1621851130199,240,16,1833,172715.07025275,-174325,120
1621851130209,1621851130279,70,4,288,16689.2810419571,-10151,252
1621851130289,1621851130299,10,-1,113,8777.49784905222,-1,-1
1621851130859,1621851131008,149,24,1767,118879.411125321,-148228,275
1621851131018,1621851131028,10,-1,80,7545.93141440099,-1,-1
1621851131038,1621851131048,10,-1,70,5404.67233498488,-1,-1
1621851131058,1621851131068,10,-1,36,1167.97898345686,-1,-1
1621851131078,1621851131108,30,1,158,8995.86847097601,-640,192
1621851131118,1621851131138,20,1,107,8637.95433426239,-5652,21
1621851131188,1621851131298,110,4,934,40031.3183883936,-38979,316
1621851131308,1621851131418,110,3,186,9478.85961270765,-10302,143
1621851131458,1621851131468,10,-1,41,2609.07315787661,-1,-1
1621851131498,1621851131508,10,-1,33,3124.31974936075,-1,-1
1621851131578,1621851131598,20,0,67,4506.46191173623,-1,195
1621851131608,1621851131658,50,24,2011,124342.04558609,-8771,165
1621851131858,1621851132058,200,20,821,32250.4844876311,-54271,267
1621851132078,1621851132118,40,1,72,4583.72733856118,-1966,317
1621851132138,1621851132158,20,0,43,1748.41537538668,-870,329
1621851132188,1621851132198,10,-1,34,530.609503028096,-1,-1
1621851132218,1621851132238,20,0,40,3614.32885372171,-1,218
1621851132338,1621851132348,10,-1,32,1072.55358398362,-1,-1
1621851132358,1621851132378,20,0,41,1931.41771541735,-963,33
1621851132498,1621851132558,60,3,98,5251.73397316469,-4846,356
1621851132847,1621851132857,10,-1,57,3478.39109989753,-1,-1
1621851133037,1621851133077,40,2,95,5856.21124199374,-5703,180
1621851133207,1621851133347,140,0,344,26935.3149475857,-23330,354
1621851133387,1621851133557,170,39,570,42792.1010084884,-30310,73
1621851134816,1621851135026,210,15,660,15628.7308574104,-49501,232
1621851135036,1621851135056,20,0,68,5201.20934308562,-1501,204
1621851135076,1621851135086,10,-1,32,1271.98142039503,-1,-1
1621851135156,1621851135166,10,-1,38,2813.29507065512,-1,-1
1621851135176,1621851135266,90,21,609,27435.5586403875,-46389,106
1621851136315,1621851136325,10,-1,345,-1.0,-1,-1
1621851136435,1621851136485,50,4,382,-1.0,-18914,239
1621851136515,1621851136525,10,-1,37,1532.78123189346,-1,-1
1621851136645,1621851136705,60,4,113,5376.52029641964,-5180,29
1621851136715,1621851136725,10,-1,44,2072.88319114873,-1,-1
1621851136735,1621851136805,70,4,140,6623.89531732411,-5021,74
1621851136815,1621851136955,140,2,326,24226.8976714595,-21287,295
1621851136815,1621851136955,140,2,326,24226.8976714595,-21287,295
1621851137105,1621851137225,120,10,504,22367.3371512718,-46266,10
1621851137235,1621851137495,260,38,1595,156635.08306943,-123518,337
1621851137505,1621851137814,309,29,304,15531.2709906537,-18562,184
1621851137834,1621851137854,20,0,33,1931.88206508627,-1,225
1621851137874,1621851137924,50,1,46,2509.18995363085,-935,218
1621851137974,1621851137984,10,-1,44,2865.94613402845,-1,-1
1621851138034,1621851138054,20,0,50,2186.02703567436,-1131,199
1621851138114,1621851138134,20,0,52,4692.42860316705,-1979,217
1621851138234,1621851138264,30,1,76,6584.72940913942,-2581,225
1621851138274,1621851138284,10,-1,88,7050.44697006789,-1,-1
1621851138334,1621851138354,20,0,130,10480.5172774122,-7653,214
1621851138374,1621851138394,20,1,79,7168.2346293018,-1823,30
1621851138424,1621851138464,40,1,75,4055.08414048973,-2091,215
1621851138574,1621851138614,40,0,86,6289.888495302,-5215,135
1621851138644,1621851138674,30,2,123,9263.50588772109,-3124,38
1621851138734,1621851138764,30,1,134,12831.6437438066,-8070,16
1621851138774,1621851138814,40,1,48,2533.02444486016,-797,4
1621851138854,1621851138904,50,1,68,2100.82353677576,-107,30
1621851138914,1621851138924,10,-1,48,2543.26701581295,-1,-1
1621851138934,1621851138944,10,-1,35,2061.80606535442,-1,-1
1621851139014,1621851139034,20,0,58,3294.00963618101,-2398,45
1621851139054,1621851139154,100,39,1973,92872.3714995661,-110303,146
1621851139263,1621851139323,60,32,888,71751.0957988323,-45698,344
1621851139333,1621851139343,10,-1,36,1531.64735957886,-1,-1
1621851139353,1621851139493,140,11,760,40166.6613910117,-39694,234
1621851139503,1621851139513,10,-1,31,209.716030007665,-1,-1
1621851139523,1621851139553,30,1,52,1253.29660064834,-1335,341
1621851139573,1621851139613,40,1,51,1689.91272070468,-1180,0
1621851139623,1621851139833,210,9,70,2577.03449135176,-1541,359
1621851139843,1621851139863,20,1,75,3249.23076366682,-1,228
1621851139883,1621851139943,60,2,89,3437.99827158846,-3143,12
1621851140013,1621851140023,10,-1,54,3054.52104185585,-1,-1
1621851140033,1621851140053,20,1,76,6475.93913252891,-2658,246
1621851140083,1621851140123,40,1,57,1626.08293111141,-570,219
1621851140133,1621851140343,210,18,379,20591.9132314943,-18121,87
1621851140363,1621851140393,30,4,333,14642.0285432958,-1,282
1621851140932,1621851141002,70,17,904,-1.0,-37437,300
1621851141102,1621851141122,20,1,93,6859.74856146815,-1,160
1621851141302,1621851141332,30,2,112,5796.00361525218,-6283,159
1621851141422,1621851141432,10,-1,37,2066.83350651137,-1,-1
1621851141462,1621851141582,120,21,539,23925.9597174282,-6075,90
1621851142811,1621851143061,250,22,687,36527.9859508219,-61086,230
1621851143261,1621851143301,40,4,173,9315.39356323128,-6686,32
1621851143361,1621851143591,230,12,781,57708.5232608269,-27671,66
1621851144210,1621851144230,20,1,165,-1.0,-9692,275
1621851144270,1621851144320,50,5,308,20571.4073158695,-7199,50
1621851144330,1621851144510,180,19,1468,133247.079123074,-65047,232
1621851144660,1621851144730,70,4,167,6581.75035274226,-5618,283
1621851144750,1621851144780,30,1,64,2564.71087418038,-2680,28
1621851144810,1621851144830,20,0,37,1255.17398197816,-1,29
1621851145070,1621851145220,150,26,451,29637.5655582926,-18216,107
1621851145280,1621851145300,20,4,1063,86668.449898752,-1,346
1621851145600,1621851145610,10,-1,41,1950.32486276533,-1,-1
1621851145620,1621851145640,20,1,84,5634.03900139104,-1,235
1621851145800,1621851145899,99,12,880,5892.73174648214,-67591,210
1621851145909,1621851145959,50,9,368,13599.8258931113,-18701,192
1621851145969,1621851145979,10,-1,30,1715.4900977479,-1,-1
1621851146109,1621851146119,10,-1,34,483.599552287711,-1,-1
1621851146329,1621851146419,90,19,457,16940.9509435357,-12872,45
1621851146429,1621851146459,30,1,86,7195.52442260524,-2653,207
1621851146489,1621851146529,40,11,691,21744.4221579747,-1,114
1621851146849,1621851146889,40,2,255,368.569946441991,-16412,257
1621851146939,1621851146949,10,-1,35,2280.80346661857,-1,-1
1621851147389,1621851147459,70,3,66,2041.43049931921,-2276,15
1621851147469,1621851147479,10,-1,41,1184.50470176693,-1,-1
1621851147598,1621851147788,190,14,566,45644.0578225522,-41474,238
1621851147798,1621851147908,110,4,107,5445.14664778561,-4261,190
1621851147928,1621851147978,50,6,245,12964.846906702,-8268,231
1621851148048,1621851148138,90,3,57,1688.63134163946,-1464,26
1621851148148,1621851148168,20,0,48,2603.59934833958,-1,187
1621851148178,1621851148208,30,7,674,31981.0380360734,-1,26
1621851148448,1621851148498,50,12,934,20544.7472902311,-67754,336
1621851148528,1621851148658,130,3,404,25704.6296263082,-15130,200
1621851148678,1621851148738,60,2,100,6602.00458373311,-4651,191
1621851148748,1621851148878,130,30,720,30132.3918983244,-24104,348
1621851148888,1621851148918,30,2,115,5772.50262124814,-821,197
1621851148938,1621851149217,279,16,171,8618.95133553719,-9380,207
1621851149237,1621851149307,70,3,110,8005.93608759376,-6330,74
1621851149347,1621851149357,10,-1,35,904.502038199188,-1,-1
1621851149377,1621851149427,50,2,69,3236.46748683636,-2193,356
1621851149517,1621851149557,40,1,57,2393.97459820228,-2736,180
1621851149567,1621851149577,10,-1,79,7211.40012582863,-1,-1
1621851149587,1621851149647,60,4,179,9977.5040879734,-7391,181
1621851149887,1621851149917,30,2,104,4899.31578343003,-3361,21
1621851149927,1621851149937,10,-1,43,3185.47536885501,-1,-1
1621851150087,1621851150107,20,0,34,1578.45686624027,-1,243
1621851150117,1621851150217,100,6,192,14594.2545063158,-9378,242
